Ngày,Giải Đặc BIệt,Giải Nhất,Giải Nhì,Giải Ba,Giải Tư,Giải Năm,Giải Sáu,Giải Bảy
02-02-2021,15759,94632,"{87665, 00106}","{93054, 14050, 89707, 04762, 30708, 66993}","{3765, 5489, 8034, 1676}","{5961, 7441, 2050, 7148, 3647, 1867}","{570, 945, 490}","{30, 27, 89, 66}"
03-02-2021,76349,68400,"{16475, 50706}","{33912, 66566, 22883, 51676, 45105, 32182}","{0869, 0360, 0179, 8405}","{2850, 6272, 4043, 5386, 6423, 4231}","{287, 865, 292}","{97, 26, 42, 33}"
04-02-2021,48218,12833,"{42952, 42457}","{35345, 43691, 68718, 86132, 52225, 19869}","{5362, 0911, 3515, 4807}","{9772, 7833, 5995, 1267, 4720, 8940}","{496, 169, 543}","{32, 71, 44, 45}"
05-02-2021,48520,61417,"{61323, 88532}","{05920, 84407, 66568, 10425, 96873, 84798}","{7128, 9292, 4278, 5915}","{2327, 0821, 0064, 7717, 4532, 1681}","{444, 718, 268}","{70, 88, 39, 14}"
06-02-2021,37427,81178,"{95907, 38690}","{18621, 12168, 88803, 67809, 18130, 22678}","{9919, 1306, 9509, 9899}","{1263, 0129, 5507, 9846, 3264, 7385}","{111, 924, 870}","{11, 39, 87, 13}"
07-02-2021,25119,49164,"{03470, 86957}","{49953, 37171, 16771, 14352, 20535, 68525}","{1154, 6529, 1334, 7407}","{5778, 8055, 2644, 6342, 4213, 2274}","{065, 977, 877}","{10, 80, 14, 93}"
08-02-2021,42991,58433,"{63925, 29882}","{41725, 98391, 04989, 74828, 74456, 74215}","{3446, 8914, 4198, 7999}","{4988, 9858, 9393, 0705, 7975, 0412}","{979, 976, 314}","{18, 80, 38, 92}"
09-02-2021,38792,02990,"{56382, 59467}","{16494, 15952, 87566, 98018, 61687, 49689}","{3236, 0158, 0289, 5532}","{8266, 5050, 3338, 8384, 1355, 8984}","{328, 663, 971}","{12, 62, 47, 36}"
10-02-2021,04629,65961,"{20300, 66822}","{31408, 92936, 91307, 19268, 99140, 09912}","{9163, 7289, 5975, 0162}","{6421, 9478, 1087, 9581, 9975, 1939}","{344, 833, 564}","{34, 04, 32, 10}"
15-02-2021,56286,33164,"{94890, 93914}","{09089, 28684, 83380, 75841, 16786, 77493}","{7346, 5935, 9991, 8558}","{5252, 1682, 7065, 2061, 4855, 1915}","{363, 541, 782}","{88, 41, 96, 94}"
16-02-2021,11503,24958,"{42653, 30557}","{24766, 26094, 92609, 67516, 91720, 75444}","{7372, 4889, 3748, 0586}","{8770, 2923, 1332, 5875, 0746, 3009}","{385, 619, 251}","{00, 22, 41, 17}"
17-02-2021,05177,48772,"{45665, 66608}","{63790, 46832, 73087, 70582, 20932, 77527}","{9354, 7816, 7190, 4799}","{4529, 0268, 0690, 9457, 9633, 7264}","{838, 264, 069}","{08, 85, 65, 58}"
18-02-2021,81910,69529,"{30363, 09808}","{75281, 20408, 41646, 90334, 29677, 63460}","{4424, 0347, 6323, 6026}","{3225, 3782, 2009, 7834, 9270, 2433}","{899, 380, 869}","{75, 47, 06, 89}"
19-02-2021,11103,91506,"{14103, 96867}","{43908, 30333, 05682, 89923, 46822, 95324}","{6906, 6085, 5159, 5226}","{0259, 6908, 8178, 6533, 9420, 4716}","{464, 135, 554}","{03, 43, 20, 18}"
20-02-2021,70030,44389,"{90433, 47790}","{16815, 76167, 85737, 26969, 17371, 21586}","{8614, 3339, 7682, 4643}","{0758, 4488, 0206, 5484, 2382, 0709}","{047, 209, 578}","{49, 47, 37, 44}"
21-02-2021,57607,09740,"{59920, 25777}","{77624, 09513, 00688, 14994, 48769, 07498}","{5872, 6569, 5395, 5305}","{8808, 4120, 7478, 4849, 9516, 4310}","{527, 740, 449}","{50, 19, 82, 08}"
22-02-2021,77708,39543,"{90233, 40768}","{85526, 36698, 75087, 25643, 46163, 77825}","{6424, 1416, 0405, 9483}","{3242, 5032, 8071, 7329, 7493, 0875}","{718, 462, 025}","{67, 18, 32, 16}"
23-02-2021,17110,80128,"{97658, 76413}","{85597, 80481, 92887, 00464, 54369, 92065}","{6321, 6491, 5875, 2498}","{7374, 4158, 9701, 1117, 6132, 1301}","{983, 606, 343}","{26, 08, 59, 86}"
24-02-2021,93315,73168,"{22638, 92974}","{52693, 70286, 16719, 69491, 29122, 08843}","{4639, 3060, 0385, 5877}","{3640, 8917, 8654, 4150, 4993, 6847}","{185, 609, 564}","{32, 78, 02, 68}"
25-02-2021,35855,42177,"{20074, 32589}","{86484, 98975, 32529, 41999, 83797, 88245}","{2972, 1141, 5546, 9411}","{7013, 8211, 8017, 1160, 4564, 7055}","{631, 833, 406}","{69, 98, 05, 73}"
26-02-2021,55600,59302,"{78836, 71711}","{57669, 79931, 24351, 86322, 54511, 71826}","{6225, 6043, 3742, 0666}","{0314, 6945, 0521, 6066, 8579, 0910}","{203, 330, 633}","{04, 70, 40, 37}"
27-02-2021,26313,85377,"{05722, 96218}","{33973, 06118, 42871, 20486, 40204, 15775}","{9706, 2583, 3438, 4088}","{5982, 9727, 6391, 2386, 8266, 3383}","{078, 988, 279}","{67, 54, 42, 21}"
28-02-2021,30398,04743,"{50110, 27282}","{28577, 60852, 29047, 52445, 01560, 80255}","{8543, 9909, 5376, 4337}","{6777, 5032, 3718, 5740, 9094, 3035}","{875, 242, 975}","{44, 10, 04, 43}"
01-03-2021,91577,25687,"{04579, 10568}","{52956, 85641, 10983, 54311, 60968, 37476}","{0908, 0118, 8066, 7712}","{6306, 0487, 3629, 7788, 5369, 0349}","{293, 346, 179}","{91, 86, 88, 99}"
02-03-2021,87462,45915,"{16169, 64606}","{90882, 13897, 53971, 16595, 90530, 47644}","{7091, 0350, 6653, 8444}","{5454, 6352, 0665, 3277, 8876, 6220}","{988, 868, 811}","{68, 54, 33, 53}"
03-03-2021,63410,84221,"{24769, 36622}","{68174, 58379, 03677, 41070, 65097, 32670}","{6699, 7395, 0095, 0326}","{8823, 6842, 7275, 7496, 3805, 6910}","{746, 846, 202}","{98, 97, 44, 73}"
04-03-2021,96100,19162,"{39809, 24663}","{55433, 52194, 27114, 74980, 33385, 33113}","{2860, 5190, 3378, 5910}","{0963, 7658, 5351, 0135, 2576, 4252}","{527, 640, 880}","{88, 60, 37, 69}"
05-03-2021,66992,16935,"{68659, 92257}","{86409, 19336, 52232, 57170, 72166, 57740}","{9386, 5211, 1352, 1440}","{3504, 9774, 7369, 1318, 2325, 0278}","{071, 914, 922}","{70, 84, 40, 11}"
06-03-2021,61918,27134,"{95645, 62513}","{32460, 87555, 92061, 61625, 14908, 00998}","{9946, 7782, 0527, 8668}","{9560, 0411, 8642, 3718, 9371, 1501}","{264, 940, 890}","{57, 47, 37, 30}"
07-03-2021,38433,63732,"{42264, 13340}","{88049, 77803, 97934, 33925, 27140, 69168}","{0167, 9845, 4859, 8093}","{0867, 1261, 8655, 6600, 9847, 2143}","{355, 915, 266}","{14, 39, 57, 75}"
08-03-2021,20859,94188,"{93709, 21638}","{57792, 60347, 61714, 30836, 44243, 36984}","{0589, 6444, 0415, 4512}","{2759, 1767, 4817, 0580, 5250, 3644}","{546, 175, 031}","{09, 17, 65, 75}"
09-03-2021,97736,20562,"{27019, 73169}","{79781, 19377, 63404, 63177, 04844, 66570}","{0833, 4362, 9088, 3597}","{8002, 4075, 1045, 7278, 9575, 3695}","{942, 836, 525}","{09, 45, 69, 26}"
10-03-2021,61639,24142,"{11092, 41976}","{73798, 27267, 11136, 91454, 79233, 80885}","{4006, 6559, 1777, 6720}","{3099, 9110, 5717, 8799, 9924, 7762}","{993, 311, 470}","{94, 75, 42, 95}"
11-03-2021,47526,10974,"{99990, 60827}","{47531, 60984, 67697, 94993, 73896, 31181}","{6171, 0525, 7568, 0543}","{0694, 2666, 7891, 6413, 3079, 8373}","{537, 416, 661}","{18, 72, 16, 38}"
12-03-2021,85439,84075,"{78489, 29688}","{31297, 18684, 63601, 54663, 65777, 16129}","{2609, 2739, 8536, 8966}","{3840, 2898, 8403, 6303, 1622, 4893}","{083, 841, 689}","{15, 70, 38, 84}"
13-03-2021,95112,99964,"{03193, 68084}","{28056, 89233, 14363, 27047, 63639, 08420}","{3563, 6980, 6200, 3558}","{8043, 7832, 6097, 0462, 5642, 0871}","{590, 922, 609}","{16, 34, 02, 28}"
14-03-2021,45587,03881,"{53681, 78181}","{26477, 71139, 83288, 17391, 44056, 66838}","{6916, 4858, 9751, 0071}","{1541, 0960, 4038, 9733, 0406, 2704}","{764, 932, 902}","{29, 85, 93, 90}"
15-03-2021,61924,41098,"{87157, 15729}","{76346, 03367, 69222, 32487, 89062, 78379}","{3698, 6631, 3731, 4702}","{9410, 0045, 7567, 2187, 5239, 5783}","{241, 440, 245}","{28, 29, 25, 56}"
16-03-2021,60054,12253,"{02974, 61732}","{63111, 13564, 43038, 43486, 46295, 39933}","{6851, 9112, 5908, 2766}","{3785, 7116, 6216, 7614, 7139, 5333}","{614, 483, 910}","{58, 06, 14, 66}"
17-03-2021,72152,15227,"{32168, 99294}","{49400, 49053, 48238, 87416, 21662, 18889}","{8052, 3470, 4066, 1672}","{1188, 0816, 2060, 1329, 9837, 1633}","{929, 899, 252}","{01, 07, 02, 24}"
18-03-2021,37733,24313,"{59790, 11746}","{29387, 50506, 22046, 42826, 01939, 96189}","{0663, 8451, 6650, 1786}","{3246, 6876, 2334, 9242, 8469, 9584}","{538, 324, 284}","{66, 26, 17, 31}"
19-03-2021,55324,18908,"{70030, 91699}","{90308, 19045, 75389, 92951, 91232, 84593}","{2005, 8178, 1585, 7805}","{7278, 4100, 2748, 0506, 2443, 8326}","{820, 818, 350}","{08, 93, 24, 14}"
20-03-2021,97438,44237,"{60631, 28008}","{34118, 15472, 33743, 63920, 20211, 95572}","{4348, 4838, 1668, 7448}","{9827, 0689, 5421, 9339, 0196, 0659}","{905, 348, 884}","{49, 76, 66, 51}"
21-03-2021,68140,32393,"{93839, 56403}","{65114, 04662, 27967, 17866, 80267, 40765}","{3640, 3582, 0360, 1661}","{3071, 3782, 5562, 2884, 7734, 7633}","{556, 562, 535}","{05, 17, 02, 51}"
22-03-2021,54315,31746,"{44561, 88751}","{11374, 28144, 68702, 52836, 24984, 73255}","{4210, 8981, 9941, 3086}","{0966, 3268, 5138, 9249, 4011, 0526}","{209, 205, 919}","{55, 78, 59, 37}"
23-03-2021,85639,30063,"{95547, 39052}","{94653, 56116, 35594, 68298, 18107, 43978}","{7384, 6503, 9374, 5817}","{4654, 7854, 8140, 3821, 5628, 8489}","{166, 489, 122}","{78, 29, 57, 41}"
24-03-2021,66438,51768,"{94610, 10009}","{41759, 79404, 04206, 82740, 54417, 72007}","{6962, 9851, 8259, 4138}","{6850, 5788, 2934, 3969, 5970, 8902}","{461, 121, 060}","{27, 91, 25, 02}"
25-03-2021,44219,17263,"{51334, 63993}","{88090, 37457, 15226, 74880, 18603, 58173}","{8818, 7907, 7204, 0127}","{4269, 1805, 1836, 5259, 8452, 6811}","{888, 890, 213}","{24, 06, 22, 91}"
26-03-2021,72042,68063,"{25311, 29971}","{83206, 86522, 85186, 75709, 65955, 63349}","{6509, 7975, 0671, 5763}","{4368, 4718, 7579, 0026, 5589, 9488}","{338, 783, 541}","{59, 57, 29, 76}"
27-03-2021,54601,19860,"{88938, 20323}","{48117, 20172, 64229, 45932, 08531, 13792}","{8074, 4492, 5054, 9894}","{0740, 2383, 7943, 8343, 3910, 8738}","{105, 231, 364}","{41, 56, 54, 45}"
28-03-2021,31295,59812,"{31307, 66685}","{76613, 55369, 44339, 80508, 61477, 57903}","{6889, 5598, 6663, 8480}","{2820, 3105, 1067, 9742, 9053, 5754}","{383, 080, 449}","{28, 55, 35, 70}"
29-03-2021,03000,18982,"{14238, 86862}","{55248, 47663, 90612, 81990, 83058, 61270}","{9699, 3403, 0658, 4672}","{4094, 3499, 2994, 3125, 2070, 8140}","{557, 201, 856}","{62, 89, 08, 73}"
30-03-2021,49255,06649,"{23570, 97897}","{17815, 78585, 28443, 63237, 25403, 81764}","{0137, 4313, 4219, 2492}","{5514, 5159, 5418, 2343, 9268, 8470}","{089, 068, 072}","{64, 50, 81, 58}"
31-03-2021,06996,71928,"{98750, 07368}","{91571, 10665, 00818, 68013, 49576, 58931}","{2288, 6440, 4456, 9463}","{3920, 6744, 4442, 0492, 7358, 7055}","{578, 779, 351}","{16, 39, 03, 54}"
01-04-2021,50393,32377,"{57201, 27882}","{05554, 71829, 21211, 99596, 51252, 66003}","{8236, 6787, 8798, 1677}","{8702, 8801, 3261, 7137, 7029, 8319}","{105, 622, 618}","{65, 72, 07, 23}"
02-04-2021,01795,99808,"{58658, 90819}","{54406, 82291, 94848, 61086, 13666, 06582}","{6068, 4967, 7881, 1343}","{5616, 5817, 9615, 1888, 6782, 6750}","{933, 952, 851}","{10, 15, 43, 45}"
03-04-2021,44110,17391,"{84538, 71325}","{62417, 76030, 75577, 17381, 07633, 55283}","{5308, 6513, 4361, 3366}","{6274, 9435, 6510, 4763, 6705, 8537}","{391, 286, 595}","{03, 28, 67, 75}"
04-04-2021,16278,81109,"{23429, 38390}","{32435, 42574, 99911, 09241, 21291, 55658}","{4655, 9197, 2481, 8641}","{4142, 1733, 4329, 9404, 6699, 3373}","{914, 344, 224}","{54, 37, 36, 65}"
05-04-2021,06800,39251,"{67548, 65874}","{16912, 12006, 71395, 44182, 32715, 94059}","{8360, 0691, 7008, 6286}","{8957, 2843, 8568, 1042, 3781, 4361}","{826, 667, 396}","{56, 25, 87, 11}"
06-04-2021,94659,32768,"{30053, 32214}","{82444, 37646, 05925, 98134, 53057, 59774}","{3093, 7900, 9644, 2848}","{4145, 6351, 2593, 6611, 6182, 7360}","{947, 201, 559}","{44, 45, 01, 74}"
07-04-2021,97675,55528,"{55398, 29818}","{54673, 41639, 66052, 64142, 06759, 99796}","{2370, 2784, 4435, 5716}","{5498, 3510, 4504, 0800, 2973, 2388}","{693, 603, 533}","{13, 70, 81, 56}"
08-04-2021,63904,56240,"{48222, 98507}","{32353, 37133, 28267, 86742, 62636, 80484}","{9490, 4218, 8779, 1522}","{0179, 6710, 1978, 3940, 9894, 6237}","{307, 084, 531}","{11, 03, 47, 86}"
09-04-2021,52070,62954,"{37646, 88703}","{04269, 02791, 35381, 80397, 16804, 02753}","{0651, 7692, 1233, 6875}","{7439, 7249, 5341, 9918, 3352, 8215}","{262, 484, 531}","{93, 83, 95, 71}"
10-04-2021,85313,55176,"{79036, 28577}","{94383, 79058, 53998, 29626, 30944, 46987}","{4695, 6882, 5660, 7075}","{5263, 9971, 5237, 5381, 3743, 2306}","{452, 292, 746}","{86, 54, 27, 64}"
11-04-2021,29013,13305,"{66567, 43230}","{99122, 04949, 71530, 82148, 72456, 78719}","{5096, 9766, 4238, 7800}","{7180, 2825, 0497, 1488, 4929, 5621}","{821, 034, 271}","{87, 80, 83, 23}"
12-04-2021,86039,31145,"{18498, 98082}","{98245, 31416, 10849, 92752, 30862, 66716}","{8667, 2436, 7346, 9819}","{3732, 7416, 9015, 0599, 7299, 6184}","{120, 072, 542}","{70, 97, 16, 88}"
13-04-2021,29405,36317,"{91982, 14199}","{88411, 82665, 10594, 93756, 08443, 37852}","{0292, 2980, 7500, 4753}","{0456, 4980, 7105, 4130, 3798, 1607}","{287, 955, 847}","{97, 74, 36, 21}"
14-04-2021,74295,92214,"{85483, 61076}","{72559, 48815, 40538, 49532, 49167, 21320}","{4111, 2072, 6501, 7996}","{9523, 1051, 5798, 9184, 3348, 1405}","{135, 132, 102}","{39, 80, 82, 38}"
15-04-2021,90982,05942,"{63537, 27846}","{08216, 97437, 70544, 95936, 32700, 64061}","{4137, 0303, 2119, 8210}","{9246, 4010, 6842, 6549, 1334, 5906}","{523, 665, 973}","{61, 32, 56, 62}"
16-04-2021,99789,61842,"{61345, 45388}","{33740, 22618, 08822, 57006, 19388, 34906}","{0127, 8332, 9708, 8666}","{6417, 5984, 1399, 9256, 6349, 7108}","{351, 427, 290}","{24, 63, 21, 14}"
17-04-2021,10780,90312,"{85282, 37689}","{63252, 45313, 95705, 84450, 55399, 24328}","{7215, 2880, 2797, 8358}","{0429, 5725, 6738, 0721, 0729, 7088}","{800, 534, 683}","{64, 95, 10, 52}"
18-04-2021,89500,28554,"{92570, 49815}","{04952, 62208, 76847, 37635, 17270, 72952}","{1889, 1779, 7211, 6471}","{4106, 7177, 3220, 6116, 9816, 1575}","{549, 606, 127}","{08, 56, 62, 30}"
19-04-2021,81365,37116,"{91280, 35840}","{07090, 54403, 41109, 10007, 86098, 89353}","{5851, 1113, 7837, 9569}","{7119, 2502, 8400, 7704, 1188, 6837}","{548, 974, 553}","{66, 37, 86, 80}"
20-04-2021,05475,08566,"{31533, 85710}","{76648, 51671, 93211, 16079, 10046, 91920}","{7051, 8376, 2365, 8791}","{8164, 8112, 8188, 5990, 9948, 9713}","{321, 756, 699}","{10, 47, 59, 37}"
21-04-2021,84355,78496,"{47869, 79897}","{67143, 91837, 65450, 63741, 45899, 03051}","{9447, 8753, 7436, 4241}","{0135, 6118, 1641, 5714, 0577, 6501}","{801, 518, 273}","{34, 32, 90, 21}"
22-04-2021,56292,85246,"{21395, 18863}","{68342, 11296, 09277, 15013, 72016, 79068}","{4629, 4132, 7928, 3901}","{0848, 3767, 6767, 9733, 8337, 0348}","{060, 338, 039}","{84, 79, 49, 68}"
23-04-2021,98860,08807,"{79035, 36955}","{52152, 13825, 21632, 50794, 48684, 45328}","{0241, 6662, 9586, 2178}","{0468, 2726, 4326, 8253, 3124, 5992}","{309, 967, 177}","{11, 81, 47, 68}"
24-04-2021,21177,55266,"{11744, 71304}","{12322, 12651, 88889, 47362, 53738, 93420}","{7323, 0625, 4947, 9102}","{3879, 9120, 7797, 3176, 9363, 5846}","{515, 360, 477}","{44, 72, 98, 13}"
25-04-2021,73278,29752,"{45407, 84732}","{33840, 31612, 85993, 13199, 89957, 35321}","{5788, 0782, 6501, 6762}","{4864, 5444, 0604, 4028, 9450, 9506}","{623, 091, 345}","{41, 07, 91, 36}"
26-04-2021,16252,93619,"{14175, 95275}","{45786, 92178, 83910, 83481, 13536, 42714}","{6312, 3686, 5694, 4080}","{7455, 9684, 4723, 5765, 1302, 2612}","{458, 364, 116}","{83, 96, 78, 68}"
27-04-2021,49333,97939,"{55311, 56648}","{34925, 46058, 38462, 67329, 37199, 11607}","{5602, 8412, 1759, 1094}","{4069, 2173, 7609, 7971, 9456, 0514}","{338, 395, 689}","{76, 67, 46, 27}"
28-04-2021,91213,60871,"{90650, 63371}","{63445, 44398, 61559, 11704, 01360, 29482}","{8343, 0783, 0930, 3719}","{1317, 9878, 9400, 8308, 4796, 5967}","{786, 949, 164}","{15, 23, 60, 05}"
29-04-2021,21916,03753,"{09292, 74636}","{68417, 68651, 69171, 90623, 96858, 69786}","{1854, 5529, 9484, 8227}","{2826, 3653, 7621, 0295, 7590, 9889}","{472, 535, 660}","{76, 42, 11, 57}"
30-04-2021,96736,00731,"{93389, 43599}","{41521, 57436, 11921, 95917, 66854, 33229}","{9188, 7076, 1306, 7227}","{1773, 7429, 9108, 6856, 7119, 3926}","{336, 122, 639}","{09, 80, 02, 79}"
01-05-2021,05365,60256,"{96537, 26510}","{18728, 36168, 67052, 44399, 69293, 48241}","{1981, 7413, 6040, 3021}","{9589, 9440, 4767, 5311, 7420, 7328}","{989, 920, 111}","{89, 15, 48, 57}"
02-05-2021,76578,89773,"{28086, 08979}","{53310, 84913, 98859, 08697, 50033, 62005}","{3088, 3199, 8452, 0669}","{1769, 7670, 1743, 3964, 2101, 2475}","{813, 561, 798}","{76, 34, 85, 13}"
03-05-2021,51925,70091,"{77216, 24987}","{94756, 47241, 69203, 19688, 66872, 85929}","{2181, 6617, 3168, 0740}","{2128, 4036, 3437, 7674, 4166, 9512}","{049, 260, 972}","{61, 16, 83, 47}"
04-05-2021,09580,29402,"{23008, 94257}","{98910, 37368, 76637, 04080, 39226, 74432}","{8593, 2322, 5745, 7621}","{4996, 3716, 4054, 1778, 2133, 4180}","{878, 470, 881}","{85, 49, 24, 98}"
05-05-2021,83866,51676,"{18736, 24033}","{19388, 26346, 44869, 64943, 98136, 16229}","{8844, 1363, 9702, 3489}","{6572, 9622, 4979, 9375, 7631, 6461}","{940, 517, 144}","{56, 90, 15, 53}"
06-05-2021,80359,19644,"{56866, 23666}","{03810, 90538, 16724, 99553, 27566, 67734}","{0584, 9641, 9608, 6060}","{1335, 6679, 6784, 1486, 7013, 1067}","{906, 636, 410}","{25, 79, 88, 54}"
07-05-2021,70447,30887,"{35120, 87882}","{32452, 68083, 90768, 49417, 35327, 45592}","{2495, 1910, 5938, 5431}","{3356, 4053, 0586, 9639, 6345, 4121}","{227, 327, 843}","{55, 80, 13, 71}"
08-05-2021,26493,54128,"{01818, 98582}","{01507, 93059, 78338, 90688, 06793, 50767}","{1368, 2142, 3396, 9675}","{0800, 1786, 2056, 1442, 8078, 0933}","{904, 022, 880}","{65, 25, 50, 99}"
09-05-2021,76369,77298,"{73046, 17455}","{89049, 72087, 29566, 01899, 04804, 83194}","{8511, 0448, 4346, 7136}","{8342, 1184, 7406, 4858, 8972, 9760}","{701, 912, 815}","{12, 50, 05, 13}"
10-05-2021,54247,69734,"{34677, 20804}","{58238, 22551, 72439, 91037, 28917, 04645}","{1787, 9249, 2002, 3566}","{1046, 0728, 4516, 3542, 2857, 0539}","{307, 802, 403}","{53, 29, 28, 57}"
11-05-2021,57470,46413,"{73469, 30308}","{31583, 38456, 58820, 47386, 50654, 84672}","{6636, 4486, 2882, 4552}","{8818, 0806, 9150, 5583, 1613, 2304}","{826, 058, 851}","{21, 04, 47, 74}"
12-05-2021,49650,06579,"{14342, 12281}","{41247, 66322, 82113, 01646, 94819, 44572}","{8517, 1916, 6068, 4664}","{1402, 7744, 5242, 9550, 5712, 2726}","{931, 274, 752}","{13, 55, 70, 67}"
13-05-2021,68664,81431,"{40720, 22183}","{91639, 33161, 83447, 46988, 64519, 25878}","{1896, 1399, 1212, 5965}","{8505, 4981, 2318, 7544, 2891, 0191}","{917, 833, 388}","{09, 33, 02, 23}"
14-05-2021,81047,91687,"{87624, 88230}","{59985, 32032, 68527, 94667, 83229, 11815}","{0131, 0750, 0166, 4345}","{6055, 0989, 3003, 2785, 7579, 1802}","{151, 324, 986}","{13, 14, 37, 94}"
15-05-2021,59925,41995,"{32104, 99664}","{62977, 31241, 33408, 92887, 12145, 51393}","{7548, 9776, 9558, 0921}","{2315, 6863, 8680, 6329, 2377, 6711}","{952, 319, 693}","{94, 16, 55, 43}"
16-05-2021,32965,91114,"{17932, 99707}","{19569, 47563, 05093, 59395, 22044, 59017}","{9951, 5007, 7194, 3166}","{8698, 1417, 1058, 9220, 0385, 8284}","{831, 489, 931}","{71, 51, 98, 28}"
17-05-2021,67626,81254,"{14436, 47191}","{29054, 59494, 13547, 49355, 99221, 17767}","{4541, 0210, 8059, 9213}","{0335, 4819, 7263, 1541, 5344, 3788}","{373, 291, 279}","{26, 83, 98, 18}"
18-05-2021,10448,01293,"{90453, 43020}","{27989, 01592, 57247, 57697, 90951, 93120}","{7809, 0890, 0029, 9163}","{4228, 5239, 7168, 7205, 4788, 5067}","{198, 186, 590}","{33, 82, 09, 57}"
19-05-2021,83572,70723,"{14308, 09786}","{93904, 01719, 18292, 24623, 71671, 11387}","{6970, 4346, 6358, 0736}","{9739, 4459, 1481, 5172, 8040, 9893}","{226, 031, 499}","{01, 80, 65, 12}"
20-05-2021,55967,54580,"{21026, 67810}","{59504, 89733, 13811, 43198, 35906, 15941}","{9745, 1163, 5539, 6360}","{6440, 4422, 3437, 9590, 6182, 9014}","{483, 381, 367}","{76, 79, 71, 08}"
21-05-2021,75723,20849,"{13091, 49882}","{63075, 07902, 39553, 01554, 83889, 83251}","{1937, 0147, 5809, 0407}","{2800, 7795, 8792, 8865, 3667, 4004}","{684, 874, 802}","{33, 34, 46, 29}"
22-05-2021,94325,23259,"{66640, 23376}","{31105, 72282, 82200, 63910, 11030, 94597}","{5287, 3838, 8246, 6355}","{1337, 8328, 5374, 8056, 8762, 8690}","{164, 827, 706}","{73, 69, 49, 51}"
23-05-2021,13529,97227,"{53510, 42797}","{53949, 33069, 63064, 87910, 18832, 78557}","{6853, 3613, 9966, 7341}","{1374, 1035, 7645, 0549, 0435, 8722}","{360, 987, 857}","{36, 58, 07, 65}"
24-05-2021,19685,80388,"{49059, 33202}","{87712, 17969, 89009, 33776, 57779, 44541}","{7683, 6531, 6962, 8975}","{5515, 6141, 5851, 7492, 9185, 6889}","{759, 540, 100}","{93, 90, 69, 29}"
25-05-2021,82871,94512,"{72720, 81900}","{03961, 28843, 80120, 28929, 44449, 82514}","{8544, 5065, 5483, 3579}","{0266, 4452, 5162, 1982, 7783, 1265}","{998, 780, 684}","{44, 23, 85, 86}"
26-05-2021,64904,78141,"{87901, 10549}","{40403, 40811, 25962, 62445, 22778, 37618}","{7535, 1633, 0138, 1596}","{6261, 6757, 2697, 2475, 2708, 6364}","{682, 909, 433}","{36, 71, 45, 32}"
27-05-2021,33003,35078,"{36509, 95329}","{86347, 84893, 67695, 31072, 69847, 46059}","{3531, 6277, 0781, 6243}","{6902, 5879, 7220, 0434, 3640, 7672}","{792, 899, 079}","{18, 05, 74, 78}"
28-05-2021,07076,67348,"{51380, 77608}","{08075, 99703, 94167, 46228, 31744, 45914}","{3311, 3995, 2876, 3716}","{2474, 3996, 5550, 9833, 6195, 0496}","{919, 215, 628}","{82, 49, 07, 29}"
29-05-2021,81687,54246,"{57450, 34972}","{15044, 72692, 88895, 87300, 71232, 92613}","{8087, 8713, 0896, 6614}","{9840, 1399, 5564, 5175, 0873, 2587}","{871, 815, 156}","{88, 14, 41, 75}"
30-05-2021,15553,28465,"{01790, 77377}","{52873, 70371, 33873, 61735, 44650, 87166}","{2999, 5263, 8397, 4017}","{6573, 2829, 1106, 5982, 6397, 2653}","{796, 010, 411}","{21, 00, 31, 14}"
31-05-2021,18650,10527,"{35074, 62060}","{33310, 58250, 97160, 34589, 89241, 24075}","{1062, 5907, 5201, 9167}","{0859, 1375, 9280, 0445, 0606, 1421}","{540, 276, 761}","{31, 45, 94, 77}"
01-06-2021,57266,97063,"{01547, 03792}","{34380, 55547, 99473, 04513, 03577, 43064}","{2595, 6129, 9793, 8725}","{6616, 4029, 5105, 0547, 9482, 4422}","{424, 936, 870}","{80, 25, 37, 12}"
02-06-2021,51714,07684,"{76377, 65076}","{21826, 74839, 39404, 33717, 29053, 27921}","{9279, 4414, 1107, 0048}","{6942, 4446, 8703, 0552, 0203, 2744}","{961, 232, 807}","{17, 16, 78, 74}"
03-06-2021,62721,69350,"{70384, 57898}","{76879, 97275, 98757, 65684, 44550, 69190}","{7331, 7896, 0215, 8763}","{1682, 9809, 2170, 8678, 0893, 0640}","{318, 453, 156}","{65, 81, 02, 59}"
04-06-2021,60930,14424,"{25978, 61321}","{06154, 49998, 53542, 83194, 89741, 90617}","{0202, 1868, 6825, 6573}","{5016, 2422, 9023, 6064, 1610, 0560}","{316, 410, 619}","{41, 94, 20, 71}"
05-06-2021,10263,84855,"{75330, 03907}","{81512, 16104, 73677, 91089, 87745, 84811}","{5701, 3312, 3838, 2644}","{7792, 7464, 4444, 1360, 1536, 6741}","{482, 302, 689}","{65, 37, 13, 33}"
06-06-2021,73663,63348,"{58752, 82743}","{63709, 20214, 34263, 76106, 67609, 93999}","{9233, 6289, 2907, 4869}","{4145, 1855, 3439, 4721, 9299, 0693}","{982, 560, 036}","{91, 21, 18, 88}"
07-06-2021,26422,90141,"{26323, 40303}","{80054, 66276, 56066, 54135, 47989, 89880}","{3299, 4148, 8200, 4431}","{1752, 0845, 2782, 6950, 8387, 9702}","{143, 889, 915}","{59, 41, 02, 83}"
