Ngày,Giải Đặc BIệt,Giải Nhất,Giải Nhì,Giải Ba,Giải Tư,Giải Năm,Giải Sáu,Giải Bảy
08-03-2018,00998,37937,"{69634, 98952}","{16057, 77205, 25923, 53414, 40600, 22385}","{1106, 5934, 9070, 7414}","{5229, 3858, 8615, 6419, 2183, 5014}","{829, 218, 375}","{58, 41, 75, 24}"
09-03-2018,21423,52724,"{73607, 73054}","{34787, 68911, 55917, 74821, 05331, 07407}","{4973, 7775, 9551, 1559}","{3387, 3563, 4738, 9844, 8431, 7037}","{017, 634, 132}","{09, 53, 06, 65}"
10-03-2018,03830,82039,"{40066, 54037}","{11177, 46436, 78909, 27690, 57831, 58864}","{1851, 4522, 9809, 7672}","{8645, 3469, 3828, 6830, 4794, 1235}","{385, 113, 374}","{48, 91, 27, 06}"
11-03-2018,35229,99816,"{48247, 28749}","{41022, 16200, 89236, 13696, 86630, 64388}","{7143, 0110, 2286, 3258}","{5473, 3542, 6649, 5923, 0197, 8699}","{995, 870, 504}","{32, 95, 99, 73}"
12-03-2018,17577,34681,"{23167, 18067}","{17989, 06776, 51618, 85587, 55314, 71375}","{6750, 8634, 3091, 8847}","{8961, 3530, 2117, 4336, 9339, 0488}","{683, 526, 152}","{41, 90, 56, 44}"
13-03-2018,58507,78398,"{47369, 15246}","{51446, 01180, 62560, 55375, 37263, 30151}","{0004, 9608, 5898, 0727}","{0209, 7641, 8392, 0926, 1259, 1744}","{092, 095, 262}","{57, 73, 25, 28}"
14-03-2018,90354,08135,"{78392, 38911}","{77771, 56759, 38562, 99380, 54549, 06840}","{7740, 8977, 9890, 7693}","{0727, 7739, 3343, 8907, 0891, 7125}","{251, 088, 423}","{29, 75, 06, 54}"
15-03-2018,46416,27906,"{36998, 31805}","{01280, 05914, 35543, 94308, 02920, 83986}","{2642, 7281, 7152, 5097}","{2431, 9007, 6147, 0437, 6339, 7056}","{506, 865, 806}","{27, 12, 86, 71}"
16-03-2018,24049,13325,"{98535, 16883}","{01152, 57368, 78542, 00798, 72766, 19845}","{0271, 9983, 6906, 8526}","{9738, 2948, 7585, 9870, 8702, 3554}","{687, 217, 133}","{13, 67, 78, 22}"
17-03-2018,81636,20400,"{79609, 66006}","{64418, 07667, 56587, 54738, 72342, 29170}","{6227, 0524, 9114, 9120}","{0315, 7263, 9675, 1202, 2781, 1525}","{015, 811, 207}","{00, 66, 62, 36}"
