Date,Special Prize,First Prize,Second Prize
28-11-2018,81965,86368,"['53783', '26833']"
29-11-2018,98929,46801,"['03725', '22866']"
30-11-2018,88321,39525,"['53826', '79534']"
01-12-2018,72729,35229,"['06339', '70800']"
02-12-2018,71456,29176,"['48938', '04560']"
03-12-2018,99667,71324,"['62690', '15314']"
04-12-2018,97859,02642,"['56738', '30266']"
05-12-2018,12188,98049,"['19111', '30689']"
06-12-2018,81154,41297,"['70567', '14701']"
07-12-2018,25367,15164,"['11972', '66004']"
08-12-2018,64793,11002,"['57292', '04037']"
09-12-2018,77308,42084,"['50461', '10314']"
10-12-2018,39341,39185,"['62826', '38885']"
11-12-2018,38991,70217,"['42511', '71943']"
12-12-2018,63140,12581,"['97685', '04032']"
13-12-2018,83517,17884,"['57757', '80167']"
14-12-2018,47788,90784,"['50283', '26317']"
15-12-2018,22750,77177,"['83135', '42496']"
16-12-2018,60310,86200,"['21195', '01553']"
17-12-2018,46365,59917,"['16680', '55318']"
18-12-2018,84415,40675,"['10232', '12365']"
19-12-2018,29775,09989,"['10845', '48007']"
20-12-2018,41302,47422,"['26270', '96796']"
21-12-2018,95367,63553,"['50088', '95982']"
22-12-2018,54691,17119,"['78543', '14986']"
23-12-2018,47793,96106,"['03840', '71903']"
24-12-2018,50522,93807,"['60664', '34149']"
25-12-2018,09956,75272,"['22342', '55313']"
26-12-2018,73330,59327,"['68202', '76003']"
27-12-2018,24529,55726,"['87621', '81834']"
28-12-2018,66241,74515,"['99143', '99418']"
29-12-2018,56675,05257,"['35424', '53107']"
30-12-2018,65753,84468,"['51729', '50384']"
31-12-2018,45276,47653,"['82065', '29276']"
01-01-2019,93689,75237,"['18849', '42912']"
02-01-2019,56508,45238,"['46349', '45470']"
03-01-2019,60824,55041,"['15193', '66122']"
04-01-2019,03677,91142,"['40042', '45926']"
05-01-2019,90522,22061,"['61168', '06758']"
06-01-2019,64391,54349,"['89853', '30879']"
07-01-2019,32489,47814,"['67778', '64994']"
08-01-2019,62880,03899,"['20314', '33936']"
09-01-2019,89379,51461,"['99686', '57459']"
10-01-2019,30559,78713,"['84288', '17464']"
11-01-2019,09841,60943,"['54465', '28979']"
12-01-2019,73224,81011,"['00744', '72834']"
13-01-2019,38231,01714,"['95126', '77765']"
14-01-2019,51545,42892,"['43403', '47804']"
15-01-2019,84265,28287,"['12310', '52786']"
16-01-2019,22086,79312,"['90049', '54062']"
17-01-2019,68116,26827,"['31264', '81596']"
18-01-2019,04289,05242,"['95071', '64877']"
19-01-2019,71892,00967,"['76205', '84573']"
20-01-2019,65208,55223,"['07010', '34387']"
21-01-2019,00962,78214,"['99820', '58589']"
22-01-2019,40829,68434,"['88818', '57861']"
23-01-2019,17810,36003,"['24319', '95465']"
24-01-2019,69336,65487,"['33847', '82018']"
25-01-2019,95565,31663,"['92374', '72652']"
26-01-2019,62279,66943,"['22093', '92817']"
27-01-2019,58549,62533,"['19805', '12534']"
28-01-2019,85889,19391,"['30897', '80995']"
29-01-2019,56579,42767,"['29375', '21047']"
30-01-2019,10344,85093,"['53161', '09000']"
31-01-2019,77622,66550,"['11867', '39080']"
01-02-2019,08988,22416,"['43606', '56865']"
02-02-2019,93843,40130,"['06541', '59475']"
03-02-2019,61090,49169,"['33210', '84333']"
08-02-2019,32999,32196,"['09121', '88937']"
09-02-2019,65826,11452,"['62655', '92414']"
10-02-2019,83208,72164,"['69427', '32385']"
11-02-2019,27459,78249,"['51933', '57101']"
12-02-2019,11333,32253,"['96164', '93077']"
13-02-2019,67091,07897,"['87967', '60602']"
14-02-2019,28929,12758,"['13138', '05847']"
15-02-2019,65132,27219,"['20750', '71078']"
16-02-2019,57480,40751,"['27130', '69477']"
17-02-2019,54486,25897,"['47832', '40270']"
18-02-2019,15297,69209,"['75215', '83161']"
19-02-2019,86105,55689,"['26503', '59506']"
20-02-2019,28716,60764,"['19329', '25694']"
21-02-2019,89968,75866,"['57039', '79159']"
22-02-2019,34463,53655,"['12230', '26939']"
23-02-2019,63311,86911,"['16219', '95693']"
24-02-2019,55232,39106,"['42934', '66588']"
25-02-2019,37168,14350,"['38457', '72236']"
26-02-2019,17948,56052,"['07854', '72825']"
27-02-2019,68716,21136,"['57803', '50551']"
28-02-2019,61214,96589,"['05378', '39524']"
01-03-2019,71310,06742,"['81282', '12686']"
02-03-2019,62505,20787,"['11294', '83741']"
03-03-2019,58310,10624,"['71432', '78957']"
04-03-2019,11155,45805,"['35883', '89943']"
05-03-2019,02286,76770,"['06825', '25300']"
06-03-2019,87807,58780,"['06321', '91122']"
07-03-2019,72672,51065,"['94630', '19339']"
08-03-2019,09702,74663,"['30758', '57111']"
09-03-2019,06000,97910,"['20605', '34406']"
10-03-2019,74359,76419,"['44101', '91993']"
11-03-2019,97291,82885,"['56554', '02384']"
12-03-2019,37899,94673,"['64543', '91378']"
13-03-2019,55062,46864,"['99515', '58103']"
14-03-2019,75608,15029,"['84241', '45914']"
15-03-2019,40771,89617,"['58685', '59275']"
16-03-2019,26682,37391,"['69238', '41265']"
17-03-2019,96651,20755,"['02892', '71843']"
18-03-2019,41334,84633,"['72738', '00524']"
19-03-2019,39473,88431,"['31815', '38423']"
20-03-2019,20824,01740,"['08150', '76859']"
21-03-2019,43185,07303,"['49568', '58668']"
22-03-2019,97477,21663,"['27194', '19868']"
23-03-2019,40005,35790,"['21352', '90568']"
24-03-2019,86472,34087,"['23223', '46303']"
25-03-2019,25019,08621,"['82233', '79658']"
26-03-2019,94499,86607,"['96465', '17648']"
27-03-2019,63559,66068,"['83290', '77658']"
28-03-2019,27974,44982,"['52996', '92837']"
29-03-2019,21642,02102,"['55220', '64771']"
30-03-2019,64361,22750,"['51712', '65124']"
31-03-2019,13748,11388,"['04575', '54906']"
01-04-2019,83620,53556,"['61108', '04197']"
02-04-2019,71393,78853,"['36231', '08575']"
03-04-2019,18934,67542,"['14448', '31237']"
04-04-2019,70084,17245,"['16096', '15869']"
05-04-2019,91458,40827,"['42429', '96005']"
06-04-2019,61188,86876,"['94020', '70401']"
07-04-2019,98764,79647,"['07702', '41768']"
08-04-2019,37110,61647,"['64872', '28185']"
09-04-2019,31765,91814,"['66098', '72718']"
10-04-2019,05284,67799,"['64046', '29695']"
11-04-2019,52236,50212,"['47393', '84348']"
12-04-2019,84308,39159,"['78310', '64382']"
13-04-2019,46181,26851,"['76785', '61246']"
14-04-2019,02867,96545,"['34696', '58670']"
15-04-2019,57843,22538,"['43677', '44518']"
16-04-2019,11022,57948,"['46157', '24971']"
17-04-2019,61619,32144,"['77208', '66550']"
18-04-2019,54399,81519,"['40486', '17385']"
19-04-2019,73588,12423,"['59104', '75395']"
20-04-2019,78697,10401,"['83798', '63698']"
21-04-2019,66103,27160,"['68035', '90974']"
22-04-2019,78819,34809,"['11946', '98103']"
23-04-2019,95541,87314,"['18334', '90509']"
24-04-2019,61229,64831,"['00868', '27719']"
25-04-2019,44188,53421,"['45059', '72084']"
26-04-2019,41702,18023,"['75633', '30292']"
27-04-2019,66029,94740,"['58069', '60284']"
28-04-2019,61019,08071,"['36956', '43274']"
29-04-2019,00417,99059,"['74233', '19149']"
30-04-2019,93006,63474,"['19372', '89850']"
01-05-2019,34641,56596,"['81188', '95672']"
02-05-2019,94761,27423,"['52089', '33063']"
03-05-2019,12050,74867,"['11837', '29582']"
04-05-2019,63371,61735,"['93293', '66824']"
05-05-2019,21900,21590,"['77814', '07880']"
06-05-2019,44642,33245,"['51731', '58918']"
07-05-2019,74530,97659,"['92731', '72498']"
08-05-2019,36128,26736,"['96881', '19959']"
09-05-2019,73052,42339,"['83545', '50151']"
10-05-2019,95735,32369,"['92000', '14942']"
11-05-2019,48500,57392,"['76623', '40780']"
12-05-2019,55886,88930,"['64361', '57913']"
13-05-2019,75368,37158,"['80493', '16955']"
14-05-2019,38982,05375,"['60528', '32359']"
15-05-2019,22819,20823,"['46041', '84326']"
16-05-2019,23736,79828,"['03842', '06815']"
17-05-2019,10532,89701,"['62850', '33857']"
18-05-2019,92849,00559,"['29651', '34273']"
19-05-2019,20112,93858,"['16996', '72107']"
20-05-2019,43464,93972,"['68146', '13245']"
21-05-2019,04934,10898,"['08895', '01278']"
22-05-2019,31635,94144,"['14202', '22957']"
23-05-2019,98583,27637,"['48674', '08303']"
24-05-2019,71563,34966,"['82444', '88918']"
25-05-2019,45433,95029,"['06179', '40110']"
26-05-2019,90064,85688,"['57208', '01582']"
27-05-2019,09247,13662,"['64142', '59143']"
28-05-2019,96458,53626,"['01829', '46134']"
29-05-2019,19146,39201,"['03424', '67397']"
30-05-2019,47625,24130,"['57549', '85886']"
31-05-2019,79905,91614,"['38435', '72383']"
01-06-2019,68191,99702,"['85539', '33753']"
02-06-2019,99357,57275,"['70337', '97286']"
03-06-2019,31873,04482,"['97350', '07952']"
04-06-2019,90686,90200,"['98553', '96604']"
05-06-2019,85267,01107,"['03793', '34495']"
06-06-2019,35740,86961,"['18407', '61706']"
07-06-2019,43073,42110,"['95748', '18110']"
08-06-2019,81575,81596,"['73165', '33060']"
09-06-2019,53338,16854,"['58883', '96877']"
10-06-2019,11797,20477,"['69109', '68686']"
11-06-2019,92614,78683,"['19661', '48233']"
12-06-2019,34298,66905,"['74396', '28987']"
13-06-2019,69759,56608,"['41985', '96681']"
14-06-2019,39101,12949,"['00483', '25293']"
15-06-2019,16509,12231,"['32933', '15508']"
16-06-2019,02777,03098,"['57973', '47366']"
17-06-2019,74374,29054,"['70519', '67354']"
18-06-2019,86598,39828,"['79262', '02646']"
19-06-2019,29853,88266,"['35116', '82733']"
20-06-2019,25132,62479,"['76620', '28020']"
21-06-2019,69886,10248,"['33354', '45804']"
22-06-2019,13304,33760,"['06198', '79995']"
23-06-2019,84095,36484,"['47726', '39519']"
24-06-2019,82084,93974,"['85506', '07011']"
25-06-2019,53768,37656,"['89892', '99859']"
26-06-2019,90895,20729,"['36942', '27217']"
27-06-2019,51776,72323,"['34926', '74307']"
28-06-2019,98073,45763,"['15351', '32341']"
29-06-2019,97734,58493,"['49762', '51935']"
30-06-2019,73622,92650,"['27142', '26723']"
01-07-2019,31284,15393,"['04274', '21312']"
02-07-2019,85978,66484,"['73772', '58816']"
03-07-2019,07188,79085,"['21703', '66598']"
04-07-2019,19120,63741,"['38353', '93296']"
05-07-2019,81937,00433,"['81286', '55350']"
06-07-2019,82297,13311,"['16443', '09405']"
07-07-2019,95705,34865,"['21976', '96895']"
08-07-2019,01783,53350,"['44101', '57652']"
09-07-2019,68490,71330,"['63573', '76967']"
10-07-2019,56266,40927,"['10988', '68258']"
11-07-2019,67166,62015,"['19632', '96225']"
12-07-2019,16289,51376,"['67661', '44043']"
13-07-2019,63297,65729,"['44893', '86306']"
14-07-2019,29202,81626,"['87665', '10101']"
15-07-2019,77107,94404,"['50088', '50440']"
16-07-2019,68355,53321,"['47449', '97545']"
17-07-2019,75609,41130,"['84063', '04929']"
18-07-2019,85507,47061,"['45630', '18275']"
19-07-2019,15102,84936,"['63579', '17598']"
20-07-2019,17705,00144,"['09232', '26251']"
21-07-2019,50545,35760,"['38375', '05828']"
22-07-2019,12598,99924,"['95208', '65308']"
23-07-2019,75074,70690,"['57421', '39771']"
24-07-2019,54161,94599,"['37929', '54400']"
25-07-2019,22382,22363,"['02040', '20422']"
26-07-2019,97420,62976,"['27803', '11950']"
27-07-2019,65694,80171,"['29886', '20697']"
28-07-2019,59008,46054,"['27425', '31871']"
29-07-2019,79918,59307,"['53561', '87015']"
30-07-2019,51357,62294,"['80318', '93442']"
31-07-2019,56690,61312,"['01899', '77922']"
01-08-2019,05356,75468,"['75794', '65136']"
02-08-2019,82782,94045,"['58669', '38238']"
03-08-2019,25333,65118,"['44155', '89458']"
04-08-2019,63132,73770,"['24905', '87481']"
05-08-2019,60091,47794,"['23649', '01351']"
06-08-2019,32648,45932,"['39838', '57793']"
07-08-2019,28326,75586,"['44311', '59307']"
08-08-2019,09562,47108,"['81675', '61475']"
09-08-2019,25002,39146,"['13758', '23706']"
10-08-2019,14040,88656,"['82265', '28492']"
11-08-2019,86376,93984,"['21586', '64638']"
